"Movie_Name","Movie_Original_Name","Movie_Original_Name_url","Movie_Cast","Movie_Score","Movie_Slogan","Movie_Comments"
"搏击俱乐部","/ Fight Club","https://movie.douban.com/subject/1292000/","导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉...
1999 / 美国 德国 / 剧情 动作 悬疑 惊悚","9.0","邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。","461712人评价"
"天空之城","/ 天空の城ラピュタ","https://movie.douban.com/subject/1291583/","导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
1986 / 日本 / 动画 奇幻 冒险","9.0","对天空的追逐，永不停止。","402888人评价"
"控方证人","/ Witness for the Prosecution","https://movie.douban.com/subject/1296141/","导演: 比利·怀尔德 Billy Wilder 主演: 查尔斯·劳顿 Charles Laughton / ...
1957 / 美国 / 剧情 犯罪 悬疑","9.6","比利·怀德满分作品。","136124人评价"
"飞屋环游记","/ Up","https://movie.douban.com/subject/2129039/","导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德...
2009 / 美国 / 剧情 喜剧 动画 冒险","8.9","最后那些最无聊的事情，才是最值得怀念的。","613439人评价"
"大话西游之月光宝盒","/ 西遊記第壹佰零壹回之月光寶盒","https://movie.douban.com/subject/1299398/","导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险","8.9","旷古烁今。","508572人评价"
"罗马假日","/ Roman Holiday","https://movie.douban.com/subject/1293839/","导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格...
1953 / 美国 / 喜剧 剧情 爱情","9.0","爱情哪怕只有一天。","466526人评价"
"窃听风暴","/ Das Leben der Anderen","https://movie.douban.com/subject/1900841/","导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck ...
2006 / 德国 / 剧情 悬疑","9.1","别样人生。","274932人评价"
"两杆大烟枪","/ Lock, Stock and Two Smoking Barrels","https://movie.douban.com/subject/1293350/","导演: Guy Ritchie 主演: Jason Flemyng / Dexter Fletcher / Nick Moran
1998 / 英国 / 剧情 喜剧 犯罪","9.1","4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。","317405人评价"
"摔跤吧！爸爸","/ Dangal","https://movie.douban.com/subject/26387939/","导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛...
2016 / 印度 / 剧情 传记 运动 家庭","9.1","你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。","608428人评价"
"飞越疯人院","/ One Flew Over the Cuckoo's Nest","https://movie.douban.com/subject/1292224/","导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols...
1975 / 美国 / 剧情","9.0","自由万岁。","320989人评价"
"闻香识女人","/ Scent of a Woman","https://movie.douban.com/subject/1298624/","导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯...
1992 / 美国 / 剧情","9.0","史上最美的探戈。","394876人评价"
"哈尔的移动城堡","/ ハウルの動く城","https://movie.douban.com/subject/1308807/","导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓...
2004 / 日本 / 动画 奇幻 冒险","8.9","带着心爱的人在天空飞翔。","434750人评价"
